Gehörtraining_Score,Rhythmusgefühl,Spielgeschwindigkeit_NPM,Musikalisches_Gedächtnis,Musikunterricht_Jahre,Talent_Niveau
8.8,7.3,80,7.8,5,1
7.7,7.9,105,7.6,6,2
6.0,5.6,72,7.2,3,0
6.8,6.5,98,7.6,5,2
8.2,8.6,88,8.3,5,2
7.0,7.3,90,7.9,4,1
4.7,5.8,53,6.3,4,0
5.0,6.3,68,6.5,4,0
5.6,5.8,74,6.6,4,0
6.5,6.4,82,7.3,3,1
5.4,5.8,81,5.9,4,1
7.7,9.5,94,8.8,5,2
8.1,8.5,110,9.2,6,2
6.5,5.9,73,7.3,5,1
7.7,7.7,104,8.7,8,2
7.0,6.6,75,7.5,4,0
7.0,7.0,78,6.8,5,1
6.7,6.8,78,7.9,5,1
6.8,6.4,75,6.2,4,0
8.3,7.9,107,8.3,8,2
6.8,6.2,91,6.6,3,1
8.2,6.9,88,7.5,6,2
5.5,7.2,79,6.3,4,0
7.7,6.6,93,8.2,4,2
7.6,7.3,100,8.9,5,2
5.2,5.8,80,5.2,3,0
8.7,8.6,91,8.1,7,2
7.3,7.4,100,10.0,4,2
6.0,5.5,79,6.6,7,0
7.6,7.0,91,8.5,6,1
6.2,6.8,87,7.2,7,1
6.6,6.7,58,6.2,2,0
8.6,10.0,99,9.5,5,2
7.1,7.9,99,7.6,4,2
6.9,7.9,95,6.4,5,1
5.8,6.6,83,6.6,2,0
5.7,5.1,65,7.0,3,0
3.7,5.9,62,6.2,4,0
6.4,4.7,59,6.5,4,0
6.9,7.3,99,7.4,4,1
7.0,5.9,80,5.9,2,0
6.3,7.2,86,7.0,7,1
6.9,7.3,71,7.4,6,1
7.0,7.2,70,6.9,2,0
6.6,8.1,88,7.2,4,0
6.5,7.8,82,6.4,0,0
9.0,8.1,107,8.9,6,2
8.1,9.1,95,8.4,8,2
4.9,7.7,98,7.6,6,1
10.0,8.2,104,10.0,6,2
7.8,9.2,90,7.9,3,2
6.3,6.1,73,6.0,4,0
6.9,8.0,89,7.9,5,1
6.3,6.6,70,7.0,3,0
7.0,6.4,96,9.1,4,2
6.5,5.7,79,7.8,6,1
8.6,7.9,78,8.4,6,2
7.0,7.7,92,7.5,4,1
7.2,9.9,89,7.2,4,1
5.6,7.7,82,6.5,4,1
6.9,7.3,59,7.7,5,1
8.0,8.9,101,9.9,5,2
6.7,7.1,67,8.0,2,1
7.3,6.2,90,7.1,5,1
6.6,7.2,73,8.8,3,1
6.9,7.9,74,7.3,6,1
4.7,5.9,62,5.6,3,0
8.3,8.0,103,9.4,6,2
7.7,8.8,119,9.5,6,2
7.8,10.0,116,9.3,7,2
5.5,5.7,80,7.3,3,0
6.5,7.6,82,7.0,4,1
7.1,8.5,87,7.4,4,1
5.4,5.7,63,7.2,5,0
6.7,6.8,85,7.7,2,0
4.7,3.0,50,5.8,4,0
5.3,6.1,84,4.7,4,0
8.1,7.8,97,7.4,4,2
7.8,8.4,120,9.0,6,2
6.9,6.6,83,7.0,3,0
7.0,8.1,88,8.0,4,1
7.5,9.2,89,6.8,5,2
8.9,8.4,107,9.5,10,2
6.4,7.7,82,8.0,2,1
6.7,7.9,84,6.7,6,1
7.2,9.3,90,7.7,3,1
6.2,8.9,101,7.5,5,1
6.4,7.5,94,7.6,6,2
7.6,6.7,88,7.9,4,2
7.2,7.0,107,8.1,4,1
8.6,7.3,87,9.1,3,2
5.7,5.8,83,6.5,3,0
5.8,7.3,80,5.8,7,1
9.3,8.4,92,8.8,4,2
6.4,6.8,80,7.7,5,1
4.6,6.3,90,7.7,4,0
6.2,6.1,82,6.8,2,1
7.1,8.5,87,8.2,6,2
6.0,5.7,69,6.6,3,0
6.9,8.1,71,6.5,7,1
5.7,6.0,65,4.0,3,0
5.8,7.3,93,6.6,1,0
7.7,8.7,108,8.9,6,2
5.4,5.7,80,7.6,4,0
8.2,9.5,99,9.7,6,2
5.9,7.0,92,7.8,2,1
8.0,7.2,90,7.5,6,1
7.0,9.2,75,6.8,4,1
8.6,9.1,110,8.9,7,2
6.1,6.1,87,7.5,5,1
7.1,5.6,79,7.8,3,0
6.7,7.7,90,6.8,7,1
6.1,7.7,86,7.5,4,1
6.0,5.9,74,7.2,5,0
7.6,9.1,107,8.2,6,2
7.7,8.9,107,8.2,3,2
8.2,10.0,121,9.3,8,2
4.9,5.5,55,7.5,5,0
8.7,10.0,103,7.7,4,2
8.7,8.1,91,7.7,5,2
7.7,8.3,77,7.6,4,1
5.6,7.8,77,6.6,3,0
6.9,6.6,101,7.1,6,1
6.6,8.5,104,8.3,4,2
6.9,8.1,92,7.8,5,1
9.0,9.3,93,7.2,5,2
3.7,5.7,61,4.1,0,0
6.3,6.4,89,7.7,6,1
9.0,9.5,107,8.8,3,2
5.6,5.7,87,6.3,5,0
6.2,7.7,57,7.2,2,0
7.7,6.7,80,8.2,5,1
7.3,8.1,110,7.9,6,2
10.0,9.7,110,8.3,8,2
4.9,6.8,73,6.4,4,0
5.8,6.0,80,6.2,0,0
6.8,7.5,73,6.9,2,1
7.8,8.6,92,7.7,3,2
7.0,9.1,80,6.7,4,0
7.7,8.6,96,8.4,9,2
5.0,5.8,68,7.0,5,0
8.0,8.9,99,9.0,6,2
5.8,6.2,85,6.5,4,0
9.2,9.5,103,8.8,7,2
4.7,6.0,87,4.8,4,0
6.3,7.1,63,6.0,3,0
6.7,7.4,78,7.5,4,1
7.3,8.2,83,5.8,3,0
4.2,6.3,70,5.1,3,0
5.9,6.3,71,5.7,1,0
